Year,H.Com,H.Sub,H.Sports,H.Test,In.river,In.river.sd,w.kwe,w.tul,w.geo,w.kog,w.tat,w.tak,a.kwe,a.kis,a.tul,a.sla,a.kip,a.ank,a.hlk,a.osk,a.hlt,a.che,a.gag,a.pit,a.ber,a.slp,rpw.1,rpw.2,rpw.3,rpw.4,rpw.5,rpw.6,rpw.7,rpw.8,rpw.9,rpw.10,chw.3,cew.3,cfw.3,chw.4,cew.4,cfw.4,chw.5,cew.5,cfw.5,chw.6,cew.6,cfw.6,chw.7,cew.7,cfw.7,chw.8,cew.8,cfw.8,chw.9,cew.9,cfw.9
2003,158,67134,401,409,241617,36605,14474,1064,,12008,,390,2661,654,94,1242,1493,3514,1096,844,,810,1093,165,176,,0.01949018,0.143880448,0.276427281,0.27480799,0.143263618,0.066164442,0.03505017,0.025548611,0.011162327,0.004204933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2305,96788,857,691,422657,71241,28605,1475,5488,19819,2833,461,6801,5157,1196,2177,1868,5362,539,293,4051,918,670,197,206,1138,0.003876871,0.057572065,0.212975226,0.292690113,0.251261988,0.069269676,0.040572344,0.053698258,0.016008073,0.002075387,0,0,0,0,0,0,520,104,3,1107,446,3,0,0,0,0,0,0,127,360,3
2005,4784,85090,572,557,345814,46672,,2653,3845,21819,2864,499,5059,2206,672,4097,1679,,510,582,1760,,,290,367,1801,0,0.033930586,0.233460679,0.285144749,0.187563249,0.160120271,0.076769226,0.00622005,0,0.016791189,0,0,0,0,0,0,3531,1189,3,874,604,3,0,0,0,0,0,0,0,0,0
2006,2777,90085,444,352,396248,62850,17619,1043,4355,20205,1700,541,,4734,,,1618,5639,705,386,1866,1015,531,744,347,862,0,0.014040663,0.129933493,0.305412718,0.293495157,0.167494171,0.053488793,0.011416627,0.014212934,0.010505444,0,0,0,0,0,0,2493,1038,3,0,0,0,0,0,0,0,0,0,0,0,0
2007,179,96155,1478,305,266219,32950,12927,374,4011,,2032,412,,692,173,1458,2147,3984,,,,,1035,170,165,943,0,0.022240196,0.099618183,0.199970546,0.311355876,0.247171919,0.075400606,0.031587787,0.009471143,0.003183745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,8865,98103,708,420,,,5276,701,2563,9750,1075,413,487,1074,,589,1061,3222,418,213,,290,177,131,245,1033,0.004584655,0.027231771,0.152437603,0.293124279,0.305684734,0.1182636,0.043145568,0.033401132,0.008265797,0.01386086,0,0,0,6415,1026,3,2362,783,3,19,4,3,1,6,3,0,6,0,0,12,0
2009,6664,78231,904,470,,,5744,362,3663,9528,1071,311,,,,,,,565,379,,323,303,248,209,632,0,0.046627466,0.195455972,0.283012691,0.346021219,0.075270888,0.032264799,0.016413732,0,0.004933235,0,0,0,3003,668,3,2539,752,3,762,519,3,113,436,3,83,672,3,58,752,3
2010,2732,66056,354,292,,,1667,201,1498,5812,546,181,,235,,,,,229,,,,62,187,75,135,0.006124895,0.018450259,0.219030569,0.375496868,0.151667906,0.133525937,0.05555775,0.018524206,0.011293356,0.010328255,0,0,0,0,0,0,1724,1324,5,290,522,3,271,686,3,186,958,3,176,1632,3
2011,747,62368,579,337,,,4079,284,1547,6731,992,136,,,,79,116,,61,26,,249,96,67,145,767,0.00827152,0.108224893,0.118806876,0.297634908,0.199604493,0.169544769,0.081793703,0.012973699,0,0.003145139,0,0,0,0,0,0,0,0,0,361,634,5,227,996,5,129,1226,5,24,1668,5
2012,627,22544,0,321,,,,555,2201,,1116,228,,588,,49,193,,36,51,,229,178,85,,670,0,0.006232166,0.050792717,0.296415455,0.330809308,0.211443559,0.062748786,0.020092077,0.008771432,0.012694501,0,0,0,0,0,0,0,0,0,0,0,0,45,604,5,195,1616,5,39,1464,5
2013,174,47113,0,201,,,845,193,1292,1819,495,97,1165,599,83,154,261,754,,38,532,138,74,,64,469,0,0.014357867,0.168106169,0.370822944,0.265387188,0.096279646,0.074278478,0.010767709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,2018,5,21,1556,5
2014,35,11234,0,497,,,3187,320,2993,3732,1904,,,,,497,1220,3201,80,200,,340,359,,,1865,0.022421416,0.226115846,0.283424262,0.236984858,0.12166341,0.077086033,0.014755758,0.014560557,0,0.002862254,0,0,0,0,0,0,0,0,0,0,0,0,14,584,5,14,2276,5,0,0,0
2015,8,11446,0,472,,,8162,709,2282,8081,2104,,,709,,810,917,,77,,662,,19,,1381,2016,0.023185465,0.09895198,0.185878934,0.229198444,0.151951681,0.131560709,0.062541028,0.059129179,0.033829165,0.023773416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
